Trajectory,Frame,x,y
1.0,0.0,152.723434,134.359833
1.0,1.0,157.547974,133.587036
2.0,0.0,75.46302,234.643585
2.0,1.0,75.71991,237.333878
2.0,3.0,77.130913,234.432724
2.0,4.0,76.801086,235.253311
2.0,5.0,78.207855,231.101273
2.0,6.0,79.452446,231.628082
2.0,7.0,78.765526,230.990631
2.0,8.0,77.277596,229.307968
2.0,9.0,78.932152,230.281754
2.0,10.0,77.452301,230.35968
2.0,11.0,77.372589,232.321136
2.0,12.0,76.411285,230.333878
2.0,13.0,72.745026,231.062027
2.0,14.0,74.247963,229.274536
2.0,15.0,73.468513,228.905914
2.0,16.0,71.214409,227.15184
2.0,18.0,69.373825,224.939957
2.0,19.0,68.427635,227.302994
2.0,20.0,71.255219,227.134247
2.0,21.0,75.028252,226.073242
2.0,22.0,76.401817,223.324661
2.0,23.0,78.936127,225.065414
2.0,24.0,78.943977,223.182251
2.0,25.0,76.410553,226.019012
2.0,26.0,72.992546,227.165268
2.0,28.0,72.038353,228.160904
2.0,29.0,68.619415,229.155533
2.0,30.0,67.417824,229.135468
2.0,31.0,68.331467,229.361572
2.0,34.0,71.044807,221.179749
2.0,36.0,70.439171,220.202576
2.0,37.0,72.505104,219.933578
2.0,39.0,77.432304,219.919373
2.0,40.0,77.438614,218.273727
2.0,41.0,77.567604,215.920502
2.0,42.0,74.573685,219.403778
2.0,43.0,76.322739,216.090683
2.0,44.0,78.525711,220.123154
2.0,45.0,81.005135,220.321518
2.0,46.0,78.663887,220.980423
2.0,47.0,80.329453,221.161865
2.0,48.0,79.386658,221.330475
2.0,49.0,78.30513,221.023972
2.0,50.0,76.763771,216.344284
2.0,53.0,77.025368,213.547073
2.0,54.0,79.392212,217.086227
2.0,55.0,81.461884,216.147339
2.0,56.0,82.660576,212.644196
2.0,57.0,85.4571,210.745956
2.0,58.0,85.478767,212.365906
2.0,59.0,88.18161,211.293518
2.0,60.0,89.986076,210.174194
2.0,61.0,87.520378,211.433121
2.0,62.0,84.988594,212.118225
2.0,63.0,83.290581,208.110809
2.0,64.0,80.409874,209.501373
2.0,65.0,84.639343,209.93396
2.0,66.0,87.211342,211.245697
2.0,67.0,88.332718,209.162231
2.0,68.0,91.701942,208.211761
2.0,69.0,91.63382,207.327972
2.0,70.0,93.71489,206.360352
2.0,72.0,98.161552,208.989929
2.0,73.0,96.37014,207.169159
2.0,74.0,98.940598,206.337723
2.0,75.0,97.25602,208.391006
2.0,76.0,96.500839,211.10347
2.0,77.0,95.501663,211.399658
2.0,78.0,97.295082,211.315552
2.0,80.0,92.30632,207.949356
2.0,82.0,93.154938,205.203354
2.0,83.0,93.46077,203.491974
2.0,84.0,94.289856,203.357925
2.0,85.0,92.340233,203.245926
2.0,87.0,96.343987,197.988602
2.0,88.0,96.344818,198.122696
2.0,89.0,95.978897,198.119156
2.0,90.0,95.395447,199.358124
2.0,91.0,96.277939,200.14238
2.0,92.0,96.803444,199.918121
2.0,93.0,96.36998,200.389832
2.0,97.0,89.087158,196.194153
2.0,98.0,92.07,194.796173
2.0,100.0,100.019882,194.998398
2.0,101.0,96.734062,196.036057
2.0,102.0,98.668129,194.171066
2.0,103.0,101.292183,197.939026
2.0,104.0,99.960136,199.229202
2.0,105.0,96.582504,199.109024
2.0,107.0,93.270981,196.213303
2.0,108.0,95.259941,193.018478
2.0,110.0,95.412552,192.466797
2.0,111.0,94.273331,195.237976
2.0,112.0,94.23262,197.970688
2.0,113.0,95.210449,196.909454
2.0,114.0,95.372322,200.284851
2.0,115.0,94.979202,204.394135
2.0,116.0,98.315041,201.469986
2.0,118.0,88.971153,202.206177
2.0,119.0,88.603424,204.251297
2.0,120.0,87.248161,206.000565
2.0,121.0,88.971169,203.259918
2.0,122.0,90.954758,204.061661
2.0,123.0,95.200127,204.091019
2.0,125.0,94.5672,197.868271
2.0,126.0,92.571228,200.770309
2.0,128.0,91.819443,201.398712
2.0,130.0,94.825821,198.012329
2.0,131.0,96.037636,197.036682
2.0,133.0,93.440689,202.51178
2.0,134.0,95.029404,202.488297
2.0,135.0,95.287689,202.185791
2.0,136.0,94.584869,203.44902
