Trajectory,Frame,x,y
1.0,0.0,187.499084,96.878807
1.0,1.0,188.187592,96.572586
1.0,2.0,186.815536,97.450676
1.0,3.0,186.452927,94.51841
1.0,4.0,185.839264,93.275581
1.0,5.0,184.413971,94.161263
1.0,6.0,182.623489,95.214371
1.0,7.0,183.48056,96.701141
1.0,8.0,182.923004,96.48819
1.0,9.0,185.555954,94.992233
1.0,10.0,185.200317,94.418564
1.0,11.0,182.619446,95.379776
1.0,12.0,182.645172,96.292595
1.0,13.0,179.699768,95.367104
1.0,14.0,181.392807,94.752907
1.0,15.0,180.632111,95.296761
1.0,16.0,181.322464,93.47226
1.0,17.0,181.070999,94.258614
1.0,18.0,182.204788,93.052422
1.0,19.0,180.902893,91.984085
1.0,20.0,180.541626,92.230064
1.0,21.0,180.808578,96.067459
1.0,22.0,182.105652,96.797127
1.0,23.0,179.83075,97.617874
1.0,25.0,183.71701,98.055428
1.0,26.0,184.217575,96.532959
1.0,27.0,186.389801,97.341034
1.0,28.0,188.444,98.381317
1.0,29.0,187.603058,97.076393
1.0,30.0,190.071823,96.436523
1.0,31.0,189.289001,97.392731
1.0,32.0,190.588058,98.289986
1.0,33.0,189.718933,101.795433
1.0,34.0,192.347534,102.413971
1.0,35.0,194.609055,102.08979
1.0,36.0,195.168427,102.905029
1.0,37.0,194.496368,104.866402
1.0,38.0,196.132477,106.210648
1.0,39.0,198.091858,106.355446
1.0,41.0,193.454208,109.20668
1.0,42.0,192.618622,108.683891
1.0,43.0,191.91774,110.641785
1.0,44.0,193.714859,110.667503
1.0,45.0,194.409164,110.007088
1.0,46.0,195.376541,110.761856
1.0,47.0,196.019836,110.580002
1.0,48.0,196.636322,112.254562
1.0,49.0,196.518707,114.377388
1.0,50.0,198.085388,116.267242
1.0,51.0,195.388031,116.024696
1.0,52.0,193.260666,115.117439
1.0,53.0,194.327194,114.864128
1.0,54.0,196.079468,114.221214
1.0,55.0,193.900894,113.45079
1.0,56.0,194.432846,111.419365
1.0,57.0,197.656433,111.428825
1.0,58.0,196.685211,110.374245
1.0,59.0,196.770279,111.419029
1.0,60.0,193.090866,111.670441
1.0,61.0,191.397629,109.773895
2.0,0.0,227.694748,122.599297
2.0,1.0,227.909531,122.259323
2.0,2.0,225.080353,121.167656
2.0,3.0,226.303497,121.215416
2.0,4.0,226.575485,120.324104
2.0,5.0,228.657898,119.769867
