Trajectory,Frame,x,y
1.0,0.0,149.319412,224.686813
1.0,1.0,147.402954,223.809372
1.0,2.0,150.055573,222.541275
1.0,3.0,148.842255,224.310318
1.0,4.0,147.584396,226.543503
1.0,7.0,146.275421,224.984528
1.0,8.0,147.117966,225.541153
1.0,10.0,145.617462,221.935669
1.0,11.0,146.694443,222.418396
1.0,13.0,144.789886,220.636673
1.0,14.0,142.168228,220.102448
1.0,15.0,141.641342,219.693314
1.0,16.0,144.107574,219.630188
1.0,17.0,143.85257,222.7836
1.0,18.0,144.930328,226.707932
1.0,20.0,148.348801,226.720184
1.0,22.0,149.369614,227.286484
1.0,23.0,150.543518,225.803955
1.0,24.0,152.157028,226.541794
1.0,25.0,152.654922,227.463821
1.0,26.0,151.189865,224.094711
1.0,27.0,152.049591,224.03241
1.0,28.0,149.680084,223.613525
1.0,29.0,150.393234,228.510406
1.0,30.0,151.998856,229.442169
1.0,31.0,148.249191,228.463776
1.0,32.0,146.364761,230.287888
1.0,34.0,146.383194,233.450562
1.0,35.0,144.30191,232.436569
1.0,36.0,144.993011,233.678284
1.0,37.0,142.271805,232.399857
1.0,38.0,144.38913,230.719177
1.0,41.0,142.538681,231.330109
1.0,42.0,142.69957,228.348358
1.0,43.0,141.244202,226.506927
1.0,44.0,141.011047,225.425888
1.0,45.0,142.184799,227.677902
1.0,46.0,143.633789,229.707764
1.0,47.0,141.627457,231.127625
1.0,48.0,141.676987,228.667023
1.0,49.0,143.449509,227.5504
1.0,50.0,145.653244,228.810913
1.0,51.0,149.609283,228.213547
1.0,52.0,149.305923,228.11499
1.0,53.0,150.424362,228.783112
1.0,54.0,148.55983,227.571915
1.0,55.0,147.374695,229.139709
1.0,56.0,147.077759,229.826096
1.0,58.0,142.962463,235.500488
1.0,59.0,141.619461,237.029663
1.0,60.0,139.346558,235.80423
1.0,61.0,140.280609,237.301773
1.0,62.0,140.651108,239.963776
1.0,63.0,138.746429,239.544861
1.0,65.0,136.44046,237.385437
1.0,66.0,138.505142,237.682709
1.0,68.0,135.233932,238.365082
1.0,69.0,137.139725,235.716721
1.0,71.0,137.546371,234.935471
1.0,72.0,136.040421,232.948349
2.0,1.0,466.441956,269.692444
2.0,3.0,468.385529,275.971222
3.0,1.0,319.255341,339.568329
3.0,2.0,318.272614,340.219086
3.0,4.0,318.14624,339.450073
3.0,5.0,318.460419,339.407135
3.0,6.0,317.662598,339.439392
3.0,9.0,319.047394,338.925262
3.0,11.0,316.971405,338.151703
3.0,13.0,317.091217,338.60434
4.0,3.0,407.380341,221.369431
4.0,4.0,406.965302,220.413574
5.0,5.0,182.707321,167.885635
5.0,6.0,182.05101,168.251083
5.0,7.0,182.657104,168.468033
5.0,8.0,182.593674,168.285568
5.0,9.0,182.655838,168.056107
5.0,10.0,182.711182,168.457764
5.0,11.0,182.487534,168.337051
5.0,12.0,181.683365,168.610321
5.0,13.0,182.914566,168.77684
5.0,15.0,182.602463,168.634415
5.0,16.0,182.940323,168.401321
5.0,18.0,182.849319,168.633636
5.0,21.0,181.682022,167.963562
6.0,9.0,351.77182,284.538574
6.0,12.0,355.288757,291.726349
6.0,15.0,345.579651,281.618958
7.0,11.0,430.931793,210.133377
7.0,12.0,431.207001,210.264114
8.0,16.0,446.723572,149.870804
