Trajectory,Frame,x,y
1.0,0.0,359.627838,119.292503
1.0,1.0,358.965881,118.852234
1.0,2.0,359.939392,121.064392
1.0,3.0,359.413361,119.329681
1.0,4.0,359.40686,119.297318
1.0,5.0,359.24234,119.403198
1.0,7.0,359.029205,119.567245
1.0,8.0,359.369446,119.286781
1.0,10.0,359.419373,120.139275
1.0,11.0,359.135651,120.170868
1.0,12.0,360.011871,118.750763
1.0,13.0,359.597656,119.717621
1.0,14.0,359.703674,119.423386
1.0,15.0,359.368866,119.009964
1.0,16.0,359.613953,120.184311
1.0,17.0,358.809814,120.385399
1.0,18.0,359.281982,121.13446
1.0,19.0,359.177399,120.518196
1.0,20.0,358.735535,121.154381
1.0,22.0,358.642029,118.502571
1.0,23.0,358.625214,119.436523
1.0,25.0,359.181122,119.853325
1.0,26.0,359.233246,120.254677
1.0,27.0,358.598511,119.219246
1.0,28.0,358.477539,119.653267
1.0,29.0,359.574188,119.587593
1.0,30.0,359.17514,119.993301
1.0,31.0,358.957031,119.424042
1.0,32.0,358.78714,120.166893
1.0,33.0,358.624786,119.327515
1.0,34.0,359.212677,119.317825
1.0,35.0,359.042511,119.634506
1.0,36.0,358.698456,120.230324
1.0,37.0,358.899048,119.326126
1.0,38.0,358.826233,119.427826
1.0,39.0,358.733978,119.285759
1.0,40.0,359.191864,120.079361
1.0,41.0,359.219574,120.305183
1.0,42.0,359.171539,119.425034
1.0,43.0,359.294495,119.967842
1.0,44.0,358.994019,120.248573
1.0,45.0,359.277588,118.721207
1.0,46.0,359.082092,118.763481
1.0,47.0,359.533264,119.259781
1.0,48.0,359.171173,120.232651
1.0,49.0,359.254547,120.114914
1.0,50.0,359.287598,120.200371
1.0,51.0,358.705811,119.415688
1.0,52.0,359.207001,119.65567
1.0,53.0,359.230011,120.532845
1.0,54.0,359.328735,118.780037
1.0,55.0,358.809845,119.601021
1.0,56.0,359.145966,119.448166
1.0,57.0,359.358002,120.081879
1.0,58.0,359.439819,119.645546
1.0,59.0,359.407867,119.523788
1.0,60.0,358.685028,119.378181
1.0,61.0,358.745605,119.14933
1.0,62.0,358.655365,119.609314
1.0,63.0,359.20108,119.357468
1.0,64.0,359.163727,120.12455
1.0,65.0,358.99118,120.324898
1.0,66.0,358.822632,120.493736
1.0,67.0,358.761871,119.582161
1.0,68.0,358.952728,120.232002
1.0,69.0,359.001709,119.555008
1.0,70.0,359.137512,120.530563
1.0,71.0,359.038025,119.43512
1.0,72.0,359.217896,120.408936
1.0,73.0,358.813782,119.578018
1.0,74.0,359.006683,119.422897
1.0,75.0,358.420258,119.819443
1.0,76.0,358.653015,119.515434
1.0,78.0,359.122345,119.819603
1.0,79.0,358.648987,119.649529
1.0,80.0,358.967987,118.658852
1.0,81.0,358.729309,119.294601
1.0,82.0,358.504578,119.499611
1.0,83.0,358.640015,121.064583
1.0,84.0,358.473419,120.318352
1.0,85.0,359.09491,120.161285
1.0,86.0,359.280975,119.676392
1.0,87.0,359.135773,120.527977
1.0,88.0,358.689972,121.344154
1.0,89.0,358.547455,119.184448
1.0,90.0,359.00412,119.66729
1.0,91.0,359.199493,120.086555
1.0,94.0,359.341248,119.47229
1.0,96.0,358.782349,119.765656
1.0,97.0,358.998474,119.290077
1.0,98.0,358.921631,120.483444
1.0,100.0,359.41626,120.367455
1.0,102.0,359.276947,118.85202
1.0,103.0,358.834229,119.39238
1.0,104.0,359.171051,119.495506
1.0,105.0,359.099182,119.525162
1.0,106.0,358.513153,120.23867
1.0,107.0,359.277954,121.365486
1.0,108.0,358.918549,119.056572
1.0,110.0,358.611877,119.465759
1.0,111.0,358.572937,119.479416
1.0,112.0,359.637909,120.730194
1.0,113.0,359.275238,119.652206
1.0,114.0,359.476685,120.169624
1.0,115.0,358.597626,119.371452
2.0,1.0,476.276367,77.551193
2.0,5.0,462.700836,84.439262
3.0,1.0,375.008942,87.404663
3.0,3.0,377.691986,92.337875
4.0,2.0,482.782288,236.369904
4.0,6.0,471.064056,229.727783
5.0,4.0,162.217133,330.578979
5.0,5.0,162.918137,330.494476
6.0,6.0,502.727142,24.307251
6.0,9.0,510.019989,19.560476
7.0,6.0,296.255066,200.337845
7.0,10.0,296.74234,199.073837
7.0,12.0,296.284058,199.127975
8.0,6.0,100.177887,308.941956
8.0,10.0,88.29406,305.471619
9.0,7.0,466.461517,38.442997
9.0,11.0,468.759766,32.932167
10.0,11.0,163.323334,331.293823
10.0,12.0,162.673584,332.660828
10.0,16.0,162.755127,331.602448
10.0,17.0,163.855423,332.23111
10.0,20.0,162.656525,330.723816
10.0,21.0,162.372925,331.029602
10.0,22.0,163.396408,331.467651
10.0,23.0,162.32756,331.728027
10.0,25.0,162.2677,331.647919
10.0,26.0,161.948853,331.010132
10.0,27.0,162.448059,330.987061
10.0,28.0,162.850418,330.297913
10.0,30.0,162.584976,331.613007
10.0,31.0,162.942856,332.263733
10.0,35.0,162.605515,331.567139
10.0,39.0,163.143967,330.499878
10.0,41.0,162.813599,331.542816
10.0,42.0,163.100769,331.234985
10.0,43.0,162.768936,331.345184
10.0,44.0,162.592819,330.713745
10.0,45.0,163.193146,331.299377
10.0,46.0,162.74028,331.32843
11.0,14.0,488.389526,121.81234
11.0,18.0,490.069122,102.750473
11.0,22.0,500.846283,91.860497
11.0,26.0,487.369324,103.93808
12.0,14.0,364.483063,310.703674
12.0,16.0,359.352112,309.974609
13.0,19.0,363.769653,68.721054
13.0,23.0,370.033417,87.232597
14.0,20.0,488.463196,222.429916
14.0,24.0,488.287903,208.499252
15.0,21.0,296.705109,24.900877
15.0,25.0,298.605988,25.246334
16.0,30.0,482.35614,353.244415
16.0,33.0,477.816833,346.926331
17.0,34.0,297.551941,25.619135
17.0,37.0,296.589905,26.250452
18.0,40.0,497.461151,86.928726
18.0,43.0,510.68219,90.433327
19.0,41.0,401.861145,130.36647
19.0,45.0,408.349792,114.662956
20.0,44.0,458.02005,388.17511
20.0,47.0,450.144623,394.215485
21.0,46.0,459.735992,329.98822
21.0,50.0,446.634827,325.573944
22.0,55.0,411.212341,43.176941
22.0,56.0,411.064697,44.775574
22.0,60.0,411.342682,54.538662
23.0,55.0,161.95224,332.411469
23.0,56.0,162.472244,331.037231
23.0,57.0,162.025818,331.400116
23.0,58.0,162.636032,330.965912
23.0,59.0,162.637634,330.970734
23.0,60.0,161.26976,331.560913
23.0,61.0,161.587555,330.943573
24.0,56.0,296.245789,199.476593
24.0,57.0,296.32666,198.80809
25.0,58.0,297.853577,25.453987
25.0,61.0,297.159821,26.704477
26.0,58.0,434.712738,83.088005
26.0,62.0,435.540466,93.995743
27.0,61.0,337.98233,1.359461
