Trajectory,Frame,x,y
1.0,0.0,420.76358,26.62542
1.0,1.0,420.406738,26.808094
1.0,2.0,420.60791,26.377371
1.0,3.0,421.378632,26.74719
1.0,4.0,420.350983,26.987427
1.0,5.0,421.221039,26.500195
1.0,7.0,420.9599,26.839588
1.0,8.0,419.907837,27.072798
1.0,9.0,420.769775,26.782345
1.0,11.0,420.296082,26.876705
1.0,13.0,420.544189,26.362736
1.0,14.0,420.11972,26.775965
2.0,0.0,389.559387,224.148178
2.0,1.0,389.605164,224.595749
2.0,2.0,389.373566,224.800201
2.0,3.0,389.076569,225.014572
2.0,4.0,389.607178,224.624268
2.0,5.0,389.657959,224.545456
2.0,6.0,389.696869,224.983154
2.0,7.0,389.572174,224.71904
2.0,8.0,389.620422,224.387848
2.0,9.0,389.763977,224.993713
2.0,10.0,389.758026,224.749832
2.0,11.0,389.61203,224.575775
2.0,12.0,389.746307,224.523163
2.0,13.0,389.374878,224.446152
2.0,14.0,389.736298,224.744232
2.0,15.0,389.758087,224.782379
2.0,16.0,389.210052,224.783752
2.0,17.0,389.563263,224.595032
2.0,18.0,389.253723,224.371933
2.0,19.0,389.435974,224.725388
2.0,20.0,389.911346,224.338425
2.0,21.0,389.906952,224.665802
2.0,22.0,390.159485,224.053238
2.0,23.0,389.991547,224.524185
2.0,24.0,390.141296,224.302078
2.0,25.0,389.670807,224.948242
2.0,26.0,389.633545,224.725601
2.0,27.0,390.058136,224.81337
2.0,28.0,389.341858,224.457336
2.0,29.0,390.300385,224.404007
2.0,30.0,389.704712,224.555573
2.0,31.0,389.363007,224.434097
2.0,32.0,389.628906,224.543137
2.0,33.0,389.426361,224.638794
2.0,34.0,389.792358,224.377182
2.0,35.0,389.531494,224.648132
2.0,36.0,389.473358,224.856766
2.0,37.0,390.065308,224.750916
2.0,38.0,389.817841,224.425095
2.0,39.0,389.417389,224.815613
2.0,40.0,389.836304,224.482285
2.0,41.0,389.617554,224.720779
2.0,42.0,389.745941,224.618713
2.0,43.0,389.460815,224.693329
2.0,44.0,389.673279,225.024979
2.0,45.0,389.119904,224.459305
3.0,0.0,308.150787,346.668732
3.0,1.0,306.974335,342.337708
3.0,2.0,309.173431,341.968475
3.0,3.0,313.438751,344.347015
3.0,5.0,312.547485,344.72757
3.0,6.0,311.810883,346.595581
3.0,8.0,317.907196,353.969696
3.0,9.0,316.304169,351.785706
3.0,10.0,314.656067,357.356964
3.0,11.0,312.467438,352.374237
3.0,12.0,312.660706,351.073822
3.0,14.0,317.921143,350.686646
3.0,15.0,315.932709,349.97702
3.0,16.0,320.445374,351.651703
3.0,17.0,317.249695,349.090179
3.0,18.0,319.096405,350.440002
3.0,19.0,317.163391,350.379639
3.0,20.0,322.174072,348.75296
3.0,21.0,322.709351,350.605133
3.0,22.0,318.505219,348.400024
3.0,23.0,318.897125,352.737732
3.0,24.0,318.425079,355.915863
3.0,25.0,321.25592,360.563446
3.0,26.0,322.719177,360.209595
3.0,27.0,321.558289,361.097656
3.0,28.0,324.3974,359.029816
3.0,29.0,321.896301,357.986328
3.0,31.0,325.582703,355.793182
3.0,33.0,325.452972,353.284698
3.0,34.0,328.467834,348.826904
3.0,35.0,332.900055,350.471649
3.0,36.0,330.587036,350.207977
3.0,38.0,325.710663,353.572601
3.0,39.0,326.812073,353.830109
3.0,41.0,324.331085,355.715027
3.0,42.0,323.267273,355.833008
3.0,44.0,323.044434,357.657928
3.0,45.0,324.10675,358.925751
3.0,46.0,327.178925,359.234711
3.0,47.0,325.055267,357.93689
3.0,48.0,325.484406,356.393402
3.0,50.0,335.238861,356.589203
3.0,51.0,334.085449,357.346069
3.0,53.0,342.154114,351.346649
3.0,54.0,345.699219,352.355499
3.0,55.0,345.559723,352.581055
3.0,56.0,345.18634,354.208923
3.0,57.0,343.781067,354.266174
3.0,58.0,343.600677,350.579437
3.0,59.0,342.26297,350.001953
3.0,62.0,347.552734,348.633453
4.0,3.0,344.538116,277.762909
4.0,4.0,344.513458,277.198853
5.0,5.0,311.820923,169.223953
5.0,6.0,311.387817,169.441071
5.0,7.0,311.770966,170.452118
5.0,8.0,312.287598,169.37146
5.0,9.0,312.394653,170.3461
5.0,10.0,311.825439,170.359451
5.0,12.0,311.585388,170.333115
5.0,13.0,311.574493,170.254517
5.0,17.0,311.582031,170.682709
5.0,21.0,311.689117,170.294205
5.0,22.0,311.44632,169.732895
5.0,23.0,312.043854,169.962433
5.0,25.0,311.803253,170.277435
5.0,26.0,310.055359,168.567932
5.0,29.0,311.659515,169.598419
5.0,30.0,311.661987,170.40274
5.0,32.0,311.070953,169.966995
5.0,33.0,311.626038,170.439072
5.0,35.0,311.646729,169.913223
5.0,36.0,311.392975,169.718155
5.0,37.0,312.20929,170.428986
5.0,39.0,311.55542,169.747238
5.0,41.0,311.711792,170.376755
5.0,42.0,312.028015,170.728867
5.0,43.0,311.444885,169.888504
5.0,44.0,311.634155,170.470642
5.0,47.0,311.428192,170.542755
5.0,48.0,310.90744,170.430267
5.0,49.0,311.439362,171.21257
5.0,50.0,310.701111,170.291245
5.0,51.0,311.354675,170.3237
6.0,14.0,478.009918,205.51712
6.0,15.0,477.658234,205.756851
6.0,16.0,477.918182,205.901733
7.0,27.0,359.756256,145.946869
7.0,29.0,359.332886,146.06427
8.0,28.0,292.792633,100.144691
8.0,29.0,293.130432,100.562668
8.0,31.0,292.61673,100.383858
8.0,32.0,293.296509,100.049507
9.0,32.0,449.649628,7.206064
9.0,33.0,450.154938,6.690374
9.0,34.0,449.88559,6.358424
10.0,38.0,420.714111,27.312786
10.0,40.0,420.195557,27.017714
10.0,43.0,421.469849,27.250505
10.0,45.0,419.900024,26.349943
11.0,45.0,358.370941,138.543457
11.0,46.0,357.654114,138.493881
12.0,48.0,294.830872,92.554047
12.0,52.0,285.056488,80.270126
13.0,52.0,160.301529,89.88266
13.0,55.0,166.578583,94.251404
14.0,56.0,419.384491,26.599525
14.0,60.0,419.738373,26.820047
15.0,56.0,498.786438,321.580231
15.0,57.0,499.334717,320.761841
15.0,58.0,498.957733,321.254517
15.0,59.0,498.397369,321.067505
15.0,61.0,499.810211,321.158844
16.0,57.0,456.566345,7.407601
16.0,61.0,471.798065,20.455341
17.0,58.0,464.593048,50.259865
17.0,61.0,457.700287,40.03783
18.0,60.0,467.889465,125.904228
18.0,64.0,469.103516,126.432381
19.0,60.0,401.733368,250.048782
19.0,62.0,402.82547,242.667709
20.0,60.0,396.074524,282.404175
20.0,63.0,392.505157,287.259766
21.0,61.0,351.931061,113.141251
21.0,63.0,352.476196,113.710808
21.0,65.0,352.02066,114.204552
21.0,66.0,351.864471,113.036964
22.0,62.0,241.233536,136.688065
22.0,66.0,251.625473,118.468704
23.0,62.0,432.342499,163.563614
23.0,65.0,431.192078,165.141281
24.0,63.0,505.285156,208.080841
24.0,67.0,492.410889,217.305054
24.0,71.0,478.89212,225.828629
24.0,75.0,493.494537,237.736755
25.0,64.0,330.579956,24.620077
25.0,67.0,336.483978,29.04738
26.0,64.0,221.404846,64.030365
26.0,67.0,220.926025,70.422707
27.0,64.0,408.3414,174.184692
27.0,68.0,393.338043,178.847977
27.0,72.0,385.375702,192.772476
27.0,73.0,385.746765,192.955231
28.0,65.0,426.81601,200.058472
28.0,69.0,436.710632,184.983078
29.0,65.0,365.07309,366.526337
29.0,68.0,365.435791,379.229065
29.0,70.0,366.618622,384.484528
30.0,66.0,420.79895,26.499172
30.0,68.0,420.66275,26.706316
30.0,69.0,421.481232,26.719584
30.0,70.0,421.543091,26.352322
30.0,74.0,436.432983,42.918762
31.0,66.0,393.055664,100.451302
