Trajectory,Frame,x,y
1.0,0.0,290.205444,66.420685
1.0,3.0,289.354889,64.512764
1.0,4.0,289.848083,64.95047
1.0,5.0,290.646179,64.241173
1.0,6.0,289.584442,63.633377
1.0,7.0,290.316956,65.402771
1.0,9.0,289.225372,65.133629
1.0,11.0,290.298828,65.501518
1.0,12.0,290.339508,65.760414
1.0,13.0,291.252197,66.545097
1.0,15.0,291.834167,66.415077
1.0,16.0,291.759766,66.690186
1.0,18.0,290.28418,66.618225
1.0,19.0,290.796478,67.694687
1.0,20.0,290.670624,68.309235
2.0,0.0,331.636749,90.607376
2.0,1.0,332.307495,90.465515
2.0,3.0,332.440796,90.415337
2.0,4.0,332.407288,90.176971
2.0,5.0,332.450867,89.675095
2.0,7.0,332.524902,89.68129
2.0,8.0,332.024719,90.343056
2.0,9.0,332.570129,90.901764
2.0,12.0,331.633545,89.64431
2.0,16.0,331.328674,91.234604
2.0,17.0,331.592712,91.127701
3.0,0.0,179.261902,403.520325
3.0,1.0,178.014389,408.970276
3.0,2.0,176.418243,408.795135
3.0,3.0,177.184326,408.808289
3.0,4.0,174.337799,407.308044
3.0,5.0,171.300034,403.380188
3.0,6.0,171.961334,403.481506
3.0,7.0,174.930862,402.224121
3.0,8.0,171.850052,398.368469
3.0,9.0,172.462601,400.46524
3.0,10.0,172.73735,396.669861
3.0,11.0,169.635986,397.069061
3.0,12.0,174.145599,396.735107
3.0,13.0,173.358353,394.379425
3.0,14.0,175.329956,396.47171
3.0,15.0,175.362839,398.872864
3.0,16.0,171.479477,399.586212
3.0,17.0,169.416611,396.690796
3.0,18.0,173.691116,400.032227
3.0,19.0,177.668365,398.313354
3.0,20.0,181.095535,394.761841
3.0,21.0,183.301956,395.680878
3.0,22.0,185.591385,395.804382
3.0,23.0,184.205505,395.364014
3.0,24.0,184.54863,397.435944
3.0,25.0,182.460159,397.017975
3.0,26.0,180.754059,396.75647
3.0,27.0,182.124741,400.195129
3.0,28.0,184.988098,404.749695
3.0,29.0,182.758118,403.325928
3.0,30.0,181.545212,401.783875
3.0,32.0,186.236603,399.734772
3.0,34.0,187.534546,392.355377
3.0,35.0,190.63887,392.967407
3.0,36.0,190.645966,397.167023
3.0,38.0,183.725647,397.132599
3.0,39.0,184.176834,396.869537
3.0,40.0,187.239349,399.463165
3.0,41.0,187.199173,403.737823
3.0,42.0,185.872192,403.475891
3.0,43.0,187.421356,402.990051
3.0,44.0,187.26178,404.089142
3.0,47.0,187.379868,409.574738
3.0,48.0,187.29863,406.921417
3.0,51.0,184.253265,404.632782
3.0,52.0,181.459869,402.129272
3.0,53.0,180.14563,404.383759
3.0,54.0,176.783859,401.840912
3.0,55.0,180.233215,403.470703
4.0,0.0,253.008041,433.586426
4.0,1.0,252.698959,433.704224
4.0,2.0,252.407852,433.688416
4.0,3.0,252.177307,433.639374
4.0,4.0,251.99588,434.200256
4.0,5.0,252.315994,434.679749
4.0,6.0,252.872528,433.791351
4.0,7.0,252.808044,433.783417
4.0,8.0,252.560318,434.519501
4.0,9.0,251.768906,434.406097
4.0,10.0,252.609406,433.67807
4.0,11.0,252.423294,434.527649
4.0,12.0,252.406418,434.588287
4.0,13.0,251.921082,434.630005
4.0,14.0,251.745987,434.639648
4.0,15.0,251.71431,434.265228
4.0,16.0,252.342819,433.500458
4.0,17.0,252.343948,433.516632
4.0,18.0,252.692383,434.490875
4.0,19.0,252.306122,434.540466
4.0,20.0,252.529572,433.601624
4.0,21.0,252.067245,434.006989
4.0,22.0,251.796143,433.751709
4.0,23.0,251.666428,433.878876
4.0,24.0,251.752136,433.810638
4.0,25.0,251.689499,434.486694
4.0,26.0,252.3806,434.636047
4.0,27.0,252.858154,434.419189
4.0,28.0,252.735825,434.146729
4.0,29.0,252.399689,433.61145
4.0,30.0,251.852417,434.220276
4.0,31.0,251.880432,434.496185
4.0,32.0,252.485779,433.667664
4.0,33.0,252.54921,433.804016
4.0,34.0,252.19725,433.615753
4.0,35.0,251.748947,434.425842
4.0,36.0,251.723938,434.515717
4.0,37.0,252.13002,433.776489
4.0,38.0,251.508514,434.254242
4.0,39.0,252.108551,433.515594
4.0,40.0,252.516754,433.767975
4.0,41.0,252.419128,433.663086
4.0,42.0,252.497406,433.62619
4.0,43.0,252.180511,433.818115
4.0,44.0,251.979492,433.748047
4.0,45.0,252.359634,433.804962
4.0,46.0,252.274506,434.626617
4.0,47.0,251.761322,434.08902
4.0,48.0,252.154144,433.934418
4.0,49.0,252.638397,433.945435
4.0,50.0,252.584167,434.502777
4.0,51.0,252.62439,434.579712
4.0,52.0,252.711548,434.628204
4.0,53.0,252.586517,434.565857
4.0,54.0,252.494614,434.434692
4.0,55.0,251.774048,434.623627
4.0,56.0,251.834518,434.685516
4.0,57.0,251.641678,434.684204
4.0,58.0,252.509323,434.795563
4.0,59.0,252.688599,434.00827
4.0,60.0,252.79332,434.154236
4.0,61.0,252.713593,434.364624
4.0,62.0,251.863174,433.680237
4.0,63.0,252.195587,433.691956
4.0,64.0,252.132401,433.860077
4.0,65.0,251.556915,434.356415
4.0,66.0,252.501053,434.441895
4.0,67.0,252.559402,434.603485
4.0,68.0,252.575577,433.634979
4.0,69.0,252.313126,434.16507
4.0,70.0,252.479889,433.942841
4.0,71.0,252.463776,433.877594
4.0,72.0,252.337753,434.005463
4.0,73.0,251.722839,433.571808
4.0,74.0,251.731827,434.251801
4.0,75.0,252.327438,434.042358
4.0,76.0,252.397964,434.193207
4.0,77.0,252.350189,434.386688
4.0,78.0,252.087036,434.81897
4.0,79.0,252.737259,434.710358
4.0,80.0,252.43454,434.796204
4.0,81.0,252.558594,434.348206
4.0,82.0,252.093994,433.592194
4.0,83.0,252.390381,434.178558
4.0,84.0,252.531311,434.056244
4.0,85.0,252.597534,433.880981
4.0,86.0,252.431671,433.629822
4.0,87.0,252.316788,433.602081
4.0,88.0,252.040756,433.502716
4.0,89.0,252.488571,434.213562
4.0,90.0,252.453659,434.07196
4.0,91.0,251.965881,435.113434
4.0,92.0,251.729263,434.78241
4.0,93.0,251.858841,435.113098
4.0,94.0,252.268723,433.684937
4.0,95.0,252.200546,433.720245
4.0,96.0,251.935806,433.679718
4.0,97.0,251.451889,434.102997
4.0,98.0,252.423691,434.252289
4.0,99.0,252.657486,434.332764
4.0,100.0,251.822891,433.669861
4.0,101.0,252.008652,433.831726
4.0,102.0,251.467392,434.374695
4.0,103.0,251.6129,433.819336
4.0,104.0,252.34111,433.84552
4.0,105.0,252.279144,433.769684
4.0,106.0,251.790878,433.726044
4.0,107.0,251.328308,433.857208
4.0,108.0,251.780121,433.785706
4.0,109.0,252.061829,433.816772
4.0,110.0,251.301331,434.500854
4.0,111.0,251.275101,434.531097
4.0,112.0,251.588821,434.590149
4.0,113.0,252.113525,434.654755
4.0,114.0,251.833572,435.273438
4.0,115.0,251.534195,434.561981
4.0,116.0,251.394455,434.41748
4.0,117.0,251.425354,434.783936
4.0,118.0,252.401138,434.9263
4.0,119.0,251.959564,434.56192
4.0,120.0,252.390411,434.382935
4.0,121.0,252.003464,434.214386
4.0,122.0,251.426315,434.354279
4.0,123.0,252.465622,434.160919
4.0,124.0,251.828949,433.833221
4.0,125.0,252.318832,433.680054
4.0,126.0,252.604202,434.711914
4.0,127.0,251.492767,433.887665
4.0,128.0,251.569046,434.071777
4.0,129.0,252.504959,434.15097
4.0,130.0,251.790497,433.959991
4.0,131.0,251.989471,434.04483
4.0,132.0,251.462753,434.413605
4.0,133.0,251.457565,434.141144
4.0,134.0,252.24852,434.249207
4.0,135.0,252.4711,434.807678
4.0,136.0,252.202011,434.323486
4.0,137.0,252.041336,434.797211
4.0,138.0,251.556,434.452148
4.0,139.0,251.92305,433.747192
4.0,140.0,251.526245,434.769775
4.0,141.0,251.533585,433.876862
4.0,142.0,252.164032,433.89917
4.0,143.0,251.191696,434.537262
4.0,144.0,251.467468,434.084839
4.0,145.0,251.573334,434.50354
4.0,146.0,251.4673,434.937225
4.0,147.0,251.62294,435.267822
4.0,148.0,251.546631,434.576019
4.0,149.0,251.501999,434.077332
4.0,151.0,251.615387,434.372528
4.0,152.0,251.326096,434.420959
4.0,153.0,251.482697,434.714783
4.0,154.0,251.767319,434.839111
4.0,155.0,251.652344,434.407532
4.0,156.0,251.869293,433.687836
4.0,157.0,252.053787,433.840363
4.0,158.0,251.926056,434.736359
4.0,159.0,251.25647,434.566406
4.0,160.0,251.406006,434.632324
4.0,161.0,251.827789,434.759399
4.0,162.0,251.945969,435.01123
4.0,163.0,252.293472,433.966797
4.0,164.0,252.186142,434.550262
4.0,165.0,252.287338,434.677032
4.0,166.0,252.424316,435.043427
4.0,167.0,251.194504,434.569916
4.0,168.0,251.42981,433.840118
4.0,169.0,251.819168,434.110382
4.0,170.0,251.91713,433.708282
4.0,171.0,251.627533,433.666656
4.0,172.0,251.409302,434.174774
4.0,173.0,251.74437,434.048126
4.0,174.0,252.154816,434.304443
4.0,175.0,251.335846,434.422729
4.0,176.0,251.339478,433.695709
4.0,177.0,251.592804,434.08139
4.0,178.0,251.471497,433.938934
4.0,179.0,251.134689,434.585419
4.0,180.0,251.362518,434.717407
4.0,181.0,252.166428,434.647614
4.0,182.0,251.569016,435.028595
4.0,183.0,252.205872,434.69223
4.0,184.0,252.102692,433.732971
4.0,185.0,251.660858,433.707947
4.0,186.0,251.618408,434.084991
4.0,187.0,251.195053,434.550507
4.0,188.0,250.815826,434.336151
4.0,189.0,252.157257,433.833435
4.0,190.0,251.475876,434.182739
4.0,191.0,251.326324,434.181122
4.0,192.0,251.359055,434.487854
4.0,193.0,251.689667,434.349091
4.0,194.0,252.142014,434.226868
4.0,195.0,252.088562,434.492645
4.0,196.0,252.168747,434.326782
4.0,197.0,251.880371,434.500854
4.0,198.0,252.081543,434.514954
4.0,199.0,251.038605,434.677338
4.0,200.0,250.934494,434.303833
4.0,201.0,251.272354,434.177948
4.0,202.0,251.690613,434.264557
4.0,203.0,251.973557,434.196594
4.0,204.0,252.18576,434.458405
4.0,205.0,251.357071,434.138733
4.0,206.0,251.591888,434.009552
4.0,207.0,251.240936,433.707703
4.0,209.0,250.814255,433.7341
4.0,210.0,251.436768,434.192566
4.0,211.0,251.249832,434.256989
4.0,212.0,251.318619,433.567993
4.0,215.0,251.530167,435.016876
4.0,216.0,251.755905,434.108948
4.0,217.0,252.056564,434.262726
4.0,218.0,252.098068,434.963257
4.0,220.0,252.322876,434.033142
4.0,221.0,251.899796,435.382172
4.0,222.0,251.315262,434.786011
4.0,223.0,251.73317,433.770721
4.0,224.0,251.925201,433.603455
4.0,225.0,252.267944,434.526794
4.0,226.0,251.915695,434.522736
4.0,227.0,251.753555,434.419403
4.0,228.0,251.446793,433.806976
4.0,229.0,252.391327,434.933136
4.0,230.0,251.818924,434.513458
4.0,231.0,251.735352,434.450012
4.0,232.0,251.480286,435.187195
4.0,233.0,251.680679,435.093719
4.0,234.0,251.39859,434.850128
4.0,235.0,251.722397,434.580505
4.0,236.0,251.911804,434.676697
4.0,238.0,251.329651,435.040192
4.0,239.0,251.2733,434.507355
4.0,240.0,251.988953,435.180634
4.0,241.0,252.028168,434.613617
4.0,242.0,252.764771,434.910919
4.0,243.0,251.907806,434.590546
4.0,244.0,252.243866,434.25528
4.0,245.0,251.996124,434.530182
4.0,246.0,251.520859,434.069916
4.0,247.0,251.4673,434.048065
4.0,248.0,250.733978,434.375763
4.0,249.0,251.036484,433.94693
4.0,250.0,250.662003,434.152344
4.0,251.0,250.977722,434.956512
4.0,252.0,250.933395,435.140167
4.0,253.0,251.750824,434.466553
4.0,254.0,251.3526,433.878418
4.0,255.0,251.464081,434.212738
4.0,256.0,250.946457,434.600769
4.0,257.0,251.520172,434.927734
4.0,258.0,251.81958,434.508514
4.0,259.0,251.962906,435.00238
4.0,260.0,251.721741,434.567505
4.0,261.0,251.449982,434.381989
4.0,262.0,251.735245,434.46109
4.0,263.0,251.845184,434.315857
4.0,264.0,252.119202,434.76236
4.0,265.0,252.095856,433.974274
4.0,266.0,251.335342,433.893372
4.0,268.0,251.072968,433.818756
4.0,269.0,250.774506,434.170532
4.0,270.0,251.345963,433.774506
4.0,271.0,251.41127,434.182404
4.0,272.0,251.615387,434.066711
4.0,273.0,252.091095,434.79599
4.0,274.0,251.98204,434.945099
4.0,275.0,252.125854,434.998535
4.0,276.0,252.040085,434.702271
4.0,277.0,252.140717,434.424622
4.0,278.0,251.282196,433.830475
4.0,279.0,252.153992,434.103271
4.0,280.0,251.655991,434.927032
4.0,281.0,251.682785,434.993011
4.0,282.0,251.615341,434.904938
4.0,283.0,251.202164,434.961304
4.0,284.0,251.301117,435.002533
4.0,286.0,252.054245,434.425598
4.0,287.0,252.359543,434.392273
4.0,288.0,251.880371,434.434296
4.0,289.0,251.33638,433.955963
4.0,290.0,251.087753,434.652405
4.0,291.0,251.144653,434.371429
4.0,292.0,250.969131,434.125397
4.0,293.0,250.763199,435.041046
4.0,294.0,251.082825,434.711487
4.0,295.0,251.447128,433.784576
4.0,296.0,251.639587,434.159851
4.0,297.0,251.303207,434.156128
4.0,298.0,250.70491,434.721527
4.0,299.0,251.286713,434.932617
4.0,300.0,250.627243,434.447083
4.0,301.0,251.205719,434.806732
4.0,302.0,251.604233,435.023193
4.0,303.0,251.400604,434.988983
4.0,304.0,251.71933,435.134613
4.0,305.0,251.408966,434.87677
4.0,306.0,251.533722,434.340302
4.0,307.0,251.552399,434.346405
4.0,308.0,251.452789,433.845276
4.0,309.0,251.42952,434.211884
4.0,310.0,251.28157,433.591705
4.0,311.0,251.326141,434.044098
4.0,312.0,251.20961,434.107758
4.0,313.0,251.363785,434.646606
4.0,314.0,250.810318,434.926758
4.0,315.0,250.835052,434.371948
4.0,316.0,250.553864,434.899597
4.0,317.0,251.236053,434.217102
4.0,318.0,251.222443,434.352814
4.0,319.0,251.779861,433.950287
4.0,320.0,251.790161,434.197083
4.0,321.0,251.748489,434.25647
4.0,322.0,251.910492,434.517059
4.0,323.0,251.579041,434.178589
4.0,324.0,251.685837,433.907928
4.0,325.0,251.725464,434.316589
4.0,326.0,251.617966,433.690948
4.0,327.0,252.041229,434.856537
4.0,328.0,251.270996,434.093079
4.0,329.0,251.691467,434.439392
4.0,330.0,251.812271,434.435913
4.0,331.0,251.924881,434.449432
4.0,332.0,250.804825,434.387817
4.0,333.0,251.401291,434.295776
4.0,334.0,251.20993,435.466736
4.0,335.0,250.624969,435.171387
4.0,336.0,250.613358,434.763885
4.0,337.0,250.606598,434.482208
