Trajectory,Frame,x,y
1.0,0.0,328.434723,236.028503
1.0,1.0,327.59729,236.051651
1.0,2.0,329.531006,234.918365
1.0,3.0,331.104462,233.019638
1.0,4.0,331.64151,228.222855
1.0,5.0,332.950073,227.420029
1.0,6.0,336.416107,229.192032
1.0,7.0,333.99585,228.08989
1.0,8.0,331.878754,228.520615
1.0,9.0,334.803162,232.461029
1.0,10.0,338.965668,231.344772
1.0,11.0,336.769531,232.391129
1.0,12.0,333.986603,233.298218
1.0,13.0,332.650604,233.259109
1.0,14.0,330.340668,236.285553
1.0,15.0,329.644653,234.313675
1.0,16.0,332.448547,236.260574
1.0,17.0,335.684631,238.702408
1.0,18.0,334.488678,240.153717
1.0,19.0,335.720734,241.770538
1.0,20.0,333.843628,247.032425
1.0,21.0,332.216919,248.252579
1.0,22.0,328.762024,246.479279
1.0,23.0,330.654053,246.962234
1.0,24.0,329.329926,243.905106
1.0,25.0,328.315826,246.163483
1.0,26.0,326.505737,244.158493
1.0,27.0,321.762177,243.114471
1.0,29.0,318.263153,245.298874
1.0,30.0,320.461456,246.920471
1.0,31.0,318.099091,248.331741
1.0,32.0,319.238953,251.343552
1.0,35.0,314.875122,244.085175
1.0,36.0,315.784302,245.680038
1.0,37.0,313.66983,245.169617
1.0,38.0,311.077698,245.635773
1.0,39.0,310.029144,245.515213
1.0,40.0,308.521484,246.250977
1.0,42.0,307.865265,243.207626
1.0,45.0,307.07019,239.20726
1.0,46.0,308.503418,241.798569
1.0,47.0,310.70517,242.278824
1.0,48.0,309.578125,240.114624
1.0,49.0,307.496368,239.632843
1.0,50.0,305.601593,235.239899
1.0,51.0,306.525665,232.495743
1.0,52.0,311.401428,231.711716
1.0,53.0,313.823303,235.113068
1.0,54.0,317.910767,234.093597
1.0,55.0,319.386078,238.147766
1.0,56.0,321.352997,237.053848
1.0,57.0,317.392517,236.757889
1.0,58.0,313.608612,240.314026
1.0,59.0,312.868042,237.829102
1.0,60.0,314.825043,241.367065
1.0,61.0,314.792511,241.096863
1.0,62.0,313.806183,238.949509
1.0,63.0,315.54953,240.100464
1.0,64.0,315.428406,238.970688
1.0,65.0,318.422913,236.299423
1.0,66.0,313.545929,237.400299
1.0,67.0,313.065979,237.54628
1.0,68.0,313.119537,241.295715
1.0,69.0,313.608521,241.266663
1.0,70.0,312.429108,239.943771
1.0,71.0,310.927338,237.229446
1.0,72.0,310.496796,237.565308
1.0,73.0,311.876953,237.418411
1.0,74.0,312.535736,236.692245
1.0,75.0,313.850616,240.50444
1.0,76.0,315.199615,243.792084
2.0,0.0,427.70163,292.178284
2.0,2.0,427.27533,291.464844
2.0,5.0,427.614594,292.249725
2.0,6.0,427.341522,291.334625
2.0,7.0,427.355835,291.763062
2.0,8.0,427.315002,291.615265
2.0,9.0,427.524353,291.886658
2.0,11.0,428.17218,291.736755
2.0,12.0,427.649323,291.361694
2.0,15.0,427.452057,291.693115
2.0,16.0,427.262543,292.67337
2.0,19.0,428.112976,291.650787
2.0,20.0,428.134338,291.631805
2.0,21.0,427.433319,291.339966
2.0,24.0,427.372894,292.071198
2.0,26.0,428.084534,291.484344
2.0,27.0,427.511444,292.307007
3.0,0.0,461.292267,349.43335
3.0,2.0,467.986664,348.462311
4.0,2.0,297.160736,164.951096
4.0,4.0,297.37796,164.998291
4.0,7.0,298.131439,165.32489
4.0,8.0,298.123993,165.259872
4.0,10.0,297.93454,165.246475
4.0,11.0,297.650574,165.596573
5.0,2.0,365.76297,297.724823
5.0,5.0,365.573425,312.645538
6.0,2.0,313.909912,347.492096
6.0,5.0,322.211761,358.338562
7.0,3.0,436.572357,28.762487
7.0,5.0,447.933075,30.728369
8.0,5.0,335.403046,225.091858
8.0,7.0,339.357117,223.48645
8.0,9.0,337.316467,228.757111
8.0,10.0,337.742432,226.817719
8.0,11.0,335.443878,225.802734
8.0,12.0,337.220093,229.919464
8.0,13.0,330.454559,228.745163
8.0,14.0,329.671204,233.740356
8.0,15.0,327.816772,232.625885
8.0,16.0,331.834991,234.973236
8.0,18.0,333.032776,237.898056
9.0,6.0,427.421875,71.163033
9.0,8.0,436.454926,73.978439
10.0,8.0,420.586151,302.0896
10.0,10.0,413.430481,300.710022
11.0,10.0,318.096558,292.73468
